"remote_id","acousticness","danceability","energy","instrumentalness","track_key","liveness","mode","popularity","speechiness","tempo","valence","album_year","genres"
"3DlpFxqemgabD3aMW61aKf","0.1580000073","0.6209999919","0.7210000157","9.31999966269e-6","2","0.3339999914","1","0","0.0443999991","104.04000092","0.4629999995","2016","jazz christmas"
"0qZHpHPTkyv0bdOzpUKgzK","0.1019999981","0.699000001","0.9120000005","0.01429999992251","0","0.4350000024","1","0","0.0344000012","119.9980011","0.8889999986","2016","composition d"
"1EIPdcIRWRa2CxsXHnCxFO","0.0465000011","0.878000021","0.5469999909","0.93099999427795","7","0.1099999994","0","0","0.0535999984","126.99900055","0.150000006","2016","neurostep"
"561VvhWdvT6N3kHUmBhfLe","2.55e-5","0.6470000148","0.9430000186","0.87800002098083","7","0.112999998","1","0","0.0441999994","121.98999786","0.0362000018","2016","dub, reggae, rock steady"
"0hMfSkTWWzOjfMojpO4m0S","9.6899999e-4","0.8019999862","0.7509999871","0.92199999094009","7","0.172999993","1","0","0.0727000013","125.0019989","0.2790000141","2016","re:techno"
"229WHs3fIaMNV4hz3oCzVl","1.02e-4","0.8640000224","0.7639999986","0.89300000667572","11","0.1439999938","0","0","0.0962999985","123.9940033","0.3689999878","2016","breakbeat, nu skool breaks"
"2L1m90t0K9whXrK1NtmOUm","0.2610000074","0.8019999862","0.8920000196","0.8740000128746","11","0.0887999982","0","0","0.0403999984","127.98699951","0.1909999996","2016","hi nrg"
"2KSWzm9PeCQ1o7DCl3Gktu","0.4589999914","0.7350000143","0.7089999914","0.9190000295639","0","0.0839999989","1","2","0.0555000007","116.98899841","0.5680000186","2016","deep deep house"
"6YXS8zTfvR4ZHqITUtv9QT","0.1369999945","0.5210000277","0.5519999862","0.52700001001358","4","0.3600000143","0","2","0.0282000005","130.01100159","0.1519999951","2016","norwegian hip hop"
"4saWFNcmJwtfTFL9oRTTyS","0.0584999993","0.7099999785","0.8180000186","0.84399998188019","1","0.0947000012","1","0","0.0428999998","130.00700378","0.5479999781","2016","progressive uplifting trance"
"4G5ceJTWXjexZjfYonj4DW","0.4309999943","0.8220000267","0.3790000081","0.79900002479553","0","0.2380000055","1","1","0.1030000001","120.01499939","0.2899999917","2016","full on"
